ADMM_START rows=743 columns=12248 nnz=5605870 rounds=5 max_iterations=2000 rho=100000000.0
ADMM_ITER round=1/4 iteration=975/2000 objective=8.0504425193430185e-06 r=1.73247e-09/1.10671e-08 s=0.0910248/2.33066e-06 projection_inf=7.35853e-19 support=949/12248
ADMM_ITER round=1/4 iteration=1000/2000 objective=8.0640950891691939e-06 r=1.67347e-09/1.10671e-08 s=0.09321/2.34778e-06 projection_inf=7.97784e-19 support=951/12248
ADMM_ITER round=1/4 iteration=1025/2000 objective=8.0594673436475274e-06 r=1.55224e-09/1.10671e-08 s=0.103848/2.36559e-06 projection_inf=7.65834e-19 support=956/12248
ADMM_ITER round=1/4 iteration=1050/2000 objective=8.0850195721925365e-06 r=1.56877e-09/1.10671e-08 s=0.0916295/2.38252e-06 projection_inf=8.19299e-19 support=957/12248
ADMM_ITER round=1/4 iteration=1075/2000 objective=8.1097128484931431e-06 r=1.49823e-09/1.10671e-08 s=0.0940412/2.39652e-06 projection_inf=7.7695e-19 support=956/12248
ADMM_ITER round=1/4 iteration=1100/2000 objective=8.0996219408973136e-06 r=1.47511e-09/1.10671e-08 s=0.0879679/2.41011e-06 projection_inf=7.39187e-19 support=958/12248
ADMM_ITER round=1/4 iteration=1125/2000 objective=8.0820538900464846e-06 r=1.4426e-09/1.10671e-08 s=0.0864008/2.4257e-06 projection_inf=7.37265e-19 support=960/12248
ADMM_ITER round=1/4 iteration=1150/2000 objective=8.0826981618539838e-06 r=1.41967e-09/1.10671e-08 s=0.0820717/2.44297e-06 projection_inf=7.5011e-19 support=954/12248
ADMM_ITER round=1/4 iteration=1175/2000 objective=8.1228522594353939e-06 r=1.3302e-09/1.10671e-08 s=0.0875387/2.45793e-06 projection_inf=7.58477e-19 support=975/12248
ADMM_ITER round=1/4 iteration=1200/2000 objective=8.1345105705699403e-06 r=1.29909e-09/1.10671e-08 s=0.0850446/2.47015e-06 projection_inf=7.61084e-19 support=972/12248
ADMM_ITER round=1/4 iteration=1225/2000 objective=8.1485155794567361e-06 r=1.24202e-09/1.10671e-08 s=0.0854413/2.48085e-06 projection_inf=7.79226e-19 support=977/12248
ADMM_ITER round=1/4 iteration=1250/2000 objective=8.1380893183825519e-06 r=1.25635e-09/1.10671e-08 s=0.0762406/2.49199e-06 projection_inf=7.96704e-19 support=977/12248
ADMM_ITER round=1/4 iteration=1275/2000 objective=8.1489415466598816e-06 r=1.13794e-09/1.10671e-08 s=0.0850238/2.5035e-06 projection_inf=7.83377e-19 support=980/12248
ADMM_ITER round=1/4 iteration=1300/2000 objective=8.1518559580789828e-06 r=1.18308e-09/1.10671e-08 s=0.0720644/2.51427e-06 projection_inf=7.6614e-19 support=975/12248
ADMM_ITER round=1/4 iteration=1325/2000 objective=8.1621747032997165e-06 r=1.14624e-09/1.10671e-08 s=0.0706135/2.52434e-06 projection_inf=7.71009e-19 support=975/12248
ADMM_ITER round=1/4 iteration=1350/2000 objective=8.1558996596390252e-06 r=1.12823e-09/1.10671e-08 s=0.0670489/2.53498e-06 projection_inf=8.18818e-19 support=979/12248
ADMM_ITER round=1/4 iteration=1375/2000 objective=8.1661175551991068e-06 r=1.07507e-09/1.10671e-08 s=0.0679635/2.54528e-06 projection_inf=8.10201e-19 support=984/12248
ADMM_ITER round=1/4 iteration=1400/2000 objective=8.1933928923503653e-06 r=9.59193e-10/1.10671e-08 s=0.0778995/2.55371e-06 projection_inf=8.16083e-19 support=982/12248
ADMM_ITER round=1/4 iteration=1425/2000 objective=8.2074050966683186e-06 r=1.0151e-09/1.10671e-08 s=0.064543/2.56006e-06 projection_inf=7.97262e-19 support=984/12248
ADMM_ITER round=1/4 iteration=1450/2000 objective=8.1996535751730796e-06 r=9.7047e-10/1.10671e-08 s=0.0660183/2.56637e-06 projection_inf=7.63667e-19 support=983/12248
ADMM_ITER round=1/4 iteration=1475/2000 objective=8.1911798376323771e-06 r=9.16273e-10/1.10671e-08 s=0.0685855/2.57366e-06 projection_inf=8.47115e-19 support=984/12248
ADMM_ITER round=1/4 iteration=1500/2000 objective=8.1820314241534174e-06 r=9.55279e-10/1.10671e-08 s=0.0584873/2.5817e-06 projection_inf=7.92343e-19 support=983/12248
ADMM_ITER round=1/4 iteration=1525/2000 objective=8.1796402990870946e-06 r=9.74426e-10/1.10671e-08 s=0.0500684/2.59078e-06 projection_inf=8.03538e-19 support=978/12248
ADMM_ITER round=1/4 iteration=1550/2000 objective=8.1852853202500334e-06 r=9.19138e-10/1.10671e-08 s=0.0555458/2.59941e-06 projection_inf=7.47968e-19 support=979/12248
ADMM_ITER round=1/4 iteration=1575/2000 objective=8.180580029991156e-06 r=9.30513e-10/1.10671e-08 s=0.0488863/2.6083e-06 projection_inf=7.82616e-19 support=980/12248
ADMM_ITER round=1/4 iteration=1600/2000 objective=8.1798008153974669e-06 r=8.73367e-10/1.10671e-08 s=0.0545135/2.6178e-06 projection_inf=7.80811e-19 support=983/12248
ADMM_ITER round=1/4 iteration=1625/2000 objective=8.193610150000468e-06 r=8.46991e-10/1.10671e-08 s=0.0546818/2.6266e-06 projection_inf=7.47716e-19 support=986/12248
