timestamp_utc,gpu_used_mib,gpu_total_mib,gpu_util_percent,process_rss_kib
2026/09/02 23:41:49.912, 46383, 95830, 0,8805860
2026/09/02 23:42:04.981, 46383, 95830, 0,13986164
2026/09/02 23:42:20.051, 46383, 95830, 0,9010912
2026/09/02 23:42:35.157, 46383, 95830, 0,17565972
2026/09/02 23:42:50.231, 46383, 95830, 0,12829876
2026/09/02 23:43:05.299, 46383, 95830, 8,14322376
2026/09/02 23:43:20.367, 46383, 95830, 0,8814132
2026/09/02 23:43:35.437, 46383, 95830, 0,12433220
2026/09/02 23:43:50.507, 46383, 95830, 0,16584632
2026/09/02 23:44:05.577, 46383, 95830, 0,9083676
2026/09/02 23:44:20.652, 46383, 95830, 0,10029584
2026/09/02 23:44:35.731, 46383, 95830, 33,15569472
2026/09/02 23:44:50.801, 46383, 95830, 0,8898356
2026/09/02 23:45:05.874, 46383, 95830, 0,14518492
2026/09/02 23:45:20.955, 46383, 95830, 0,9154512
2026/09/02 23:45:36.063, 46383, 95830, 0,13088236
2026/09/02 23:45:51.180, 46383, 95830, 18,8888344
2026/09/02 23:46:06.251, 46383, 95830, 34,15688588
2026/09/02 23:46:21.323, 46383, 95830, 0,8958816
2026/09/02 23:46:36.431, 46383, 95830, 0,13810264
2026/09/02 23:46:51.538, 46383, 95830, 0,14794268
2026/09/02 23:47:06.609, 46383, 95830, 0,9237836
2026/09/02 23:47:21.683, 46383, 95830, 0,9340432
2026/09/02 23:47:36.747, 46383, 95830, 0,14182860
2026/09/02 23:47:51.815, 46383, 95830, 0,16040504
2026/09/02 23:48:06.891, 46383, 95830, 0,9478316
2026/09/02 23:48:21.954, 46383, 95830, 0,16557252
2026/09/02 23:48:37.075, 46383, 95830, 0,11521112
2026/09/02 23:48:52.146, 46383, 95830, 0,9693344
2026/09/02 23:49:07.261, 46383, 95830, 0,19239876
2026/09/02 23:49:22.374, 46383, 95830, 7,15610276
2026/09/02 23:49:37.443, 46383, 95830, 0,9678264
2026/09/02 23:49:52.531, 46383, 95830, 0,18123564
2026/09/02 23:50:07.601, 46383, 95830, 0,10449028
2026/09/02 23:50:22.713, 46383, 95830, 0,10728888
2026/09/02 23:50:37.783, 46383, 95830, 0,14354960
2026/09/02 23:50:52.887, 46383, 95830, 8,10333332
2026/09/02 23:51:07.959, 46383, 95830, 0,10833932
2026/09/02 23:51:23.071, 46383, 95830, 0,17773056
2026/09/02 23:51:38.195, 46383, 95830, 0,10264560
2026/09/02 23:51:53.266, 46383, 95830, 0,10278840
2026/09/02 23:52:08.339, 46383, 95830, 0,19174616
2026/09/02 23:52:23.431, 46383, 95830, 0,18340276
2026/09/02 23:52:38.505, 46383, 95830, 0,10489888
2026/09/02 23:52:53.574, 46383, 95830, 0,10305460
2026/09/02 23:53:08.647, 46383, 95830, 0,10397012
2026/09/02 23:53:23.739, 46383, 95830, 0,19625572
2026/09/02 23:53:38.820, 46383, 95830, 0,15697124
2026/09/02 23:53:53.889, 46383, 95830, 0,10582444
2026/09/02 23:54:08.965, 46383, 95830, 0,14338700
2026/09/02 23:54:24.084, 46383, 95830, 74,10829232
2026/09/02 23:54:39.156, 46383, 95830, 0,10635772
2026/09/02 23:54:54.235, 46383, 95830, 0,10738744
2026/09/02 23:55:09.301, 46383, 95830, 0,16268900
2026/09/02 23:55:24.369, 46383, 95830, 0,10901244
2026/09/02 23:55:39.443, 46383, 95830, 36,11000740
2026/09/02 23:55:54.558, 46383, 95830, 0,15088364
2026/09/02 23:56:09.692, 46383, 95830, 0,16061028
2026/09/02 23:56:24.773, 46383, 95830, 0,21133540
